backend_type,concurrency,config_id,engine,evidence_match_rate,generation_contract_valid_rate,gpu_telemetry_scope,grounded_rate,json_valid_rate,mean_e2e_latency_ms,mean_total_tokens_per_second,mean_tpot_ms,mean_ttft_ms,memory_mode,model_alias,model_id,requests_attempted,requests_completed,requests_failed,runtime,safety_violation_count,status,total_cost_usd,total_input_tokens,total_output_tokens
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm0_no_context_c16,sglang,0.09,0.7975,self_hosted_gpu,0.09,1.0,978.0971728317672,440.74102762958245,39.412530309808446,157.33629415219184,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,0,COMPLETED,0.0,156544,8726
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm0_no_context_c32,sglang,0.095,0.7975,self_hosted_gpu,0.095,1.0,953.0162362585543,472.68979129445063,38.99846931202435,127.65789980243426,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,0,COMPLETED,0.0,156544,8785
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm1_dense_top5_c16,sglang,0.715,0.7975,self_hosted_gpu,0.7125,1.0,2002.360582567053,472.60808529018374,51.97540636459792,235.46402738196775,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,6,COMPLETED,0.0,344463,14569
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm1_dense_top5_c32,sglang,0.7175,0.8,self_hosted_gpu,0.7175,1.0,2748.2085603062296,355.256789114207,61.01436940230616,644.1275314026279,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,5,COMPLETED,0.0,344463,14634
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c16,sglang,0.7125,0.8,self_hosted_gpu,0.7125,1.0,1989.4156387838302,474.46328890959177,50.8800867559392,239.98352982802317,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,5,COMPLETED,0.0,344463,14737
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c32,sglang,0.7175,0.8,self_hosted_gpu,0.7175,1.0,2740.330375164631,352.7623992726417,60.70267980206387,632.2787452669581,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,5,COMPLETED,0.0,344463,14738
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c16,sglang,0.695,0.8,self_hosted_gpu,0.695,1.0,2012.4082431470742,468.623870489727,52.34764739336188,222.60705959866755,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,6,COMPLETED,0.0,344463,14639
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c32,sglang,0.71,0.8,self_hosted_gpu,0.71,1.0,2817.5762124807807,347.2504734804637,64.92954397360424,603.440201470512,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,5,COMPLETED,0.0,344463,14521
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c16,sglang,0.7,0.8,self_hosted_gpu,0.7,1.0,2058.595774550922,482.0601455902862,58.0408224892759,228.84369351435453,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,3,COMPLETED,0.0,362463,13228
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,sglang,0.7025,0.8,self_hosted_gpu,0.7025,1.0,2848.7097523431294,366.08102946970547,73.05364385344431,561.3423991738819,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,sglang,3,COMPLETED,0.0,362463,13192
